Functional;Rung;Year;MN
CCSD-full;ab-initio;NA;0
MP4sdq;ab-initio;NA;0
MP3;ab-initio;NA;0
MP2;ab-initio;NA;0
HF;ab-initio;NA;0
B2PLYP;dhGGA;2007;0
SPZ81;LDA;1981;0
OP86;GGA;1986;0
BP86;GGA;1986;0
SP86;GGA;1986;0
BVWN1RPA;GGA;1988;0
BVWN3;GGA;1988;0
BVWN;GGA;1988;0
BPZ81;GGA;1988;0
BLYP;GGA;1988;0
BECKE;GGA;1988;0
SLYP;GGA;1988;0
BPW91;GGA;1991;0
PW91;GGA;1991;0
PW91P86;GGA;1991;0
PW91VWN;GGA;1991;0
PW91VWN3;GGA;1991;0
PW91PZ81;GGA;1991;0
PW91LYP;GGA;1991;0
SPW91;GGA;1991;0
GPBE;GGA;1996;0
BPBE;GGA;1996;0
GP86;GGA;1996;0
GVWN1RPA;GGA;1996;0
GVWN;GGA;1996;0
GVWN3;GGA;1996;0
GPZ81;GGA;1996;0
PBEP86;GGA;1996;0
GLYP;GGA;1996;0
GILL;GGA;1996;0
HCTH407;GGA;1997;0
PBE;GGA;1997;0
PW91PBE;GGA;1997;0
PBEPW91;GGA;1997;0
PBEVWN;GGA;1997;0
PBEVWN3;GGA;1997;0
PBEOP;GGA;1997;0
PBEPZ81;GGA;1997;0
PBELYP;GGA;1997;0
SPBE;GGA;1997;0
SOP;GGA;1997;0
EDF1;GGA;1998;0
revPBE;GGA;1998;0
mPWPBE;GGA;1998;0
RPBE;GGA;1999;0
OLYP;GGA;2001;0
OPTX;GGA;2001;0
GPW91;GGA;2001;0
OPBE;GGA;2001;0
OPW91;GGA;2001;0
OVWN;GGA;2001;0
OVWN3;GGA;2001;0
OPZ81;GGA;2001;0
OVWN1RPA;GGA;2001;0
GOP;GGA;2001;0
BOP;GGA;2001;0
MOHLYP;GGA;2005;0
PBELYP1W;GGA;2005;1
MPWLYP1W;GGA;2005;1
SOGGA;GGA;2008;1
PBESOL;GGA;2008;0
SOGGA11;GGA;2011;1
N12;GGA;2012;1
B3P86;hGGA;1993;0
B3PW91;hGGA;1993;0
BHHLYP;hGGA;1993;0
B3LYPV1R;hGGA;1993;0
B3LYPV3;hGGA;1993;0
B3LYP;hGGA;1993;0
B1B95;hGGA;1996;0
mPW3PBE;hGGA;1998;0
B98;hGGA;1998;0
mPW1PBE;hGGA;1998;0
mPW1PW91;hGGA;1998;0
B97-1;hGGA;1998;0
PBEh1PBE;hGGA;1998;0
mPW1LYP;hGGA;1998;0
PBE3PBE;hGGA;1999;0
PBE0;hGGA;1999;0
O3LYP;hGGA;2001;0
B97-2;hGGA;2001;0
tHCTHhyb;hGGA;2002;0
TPSSH;hGGA;2003;0
CAMB3LYP;hGGA;2004;0
B97-K;hGGA;2004;0
B97-3;hGGA;2005;0
PBE1KCIS;hGGA;2005;0
X3LYP;hGGA;2005;0
M052X;hGGA;2005;1
M05;hGGA;2005;1
HSE06;hGGA;2006;0
M062X;hGGA;2006;1
M06;hGGA;2006;1
M06HF;hGGA;2006;1
WB97X;hGGA;2008;0
HISS;hGGA;2008;0
WB97;hGGA;2008;0
M08-SO;hGGA;2008;1
M08-HX;hGGA;2008;1
SOGGA11X;hGGA;2011;1
M11;hGGA;2011;1
M11L;mGGA;2011;1
APF;hGGA;2012;0
N12SX;hGGA;2012;1
MN12SX;hGGA;2012;1
SC;hGGA*;1974;0
VWN5;hGGA*;1980;0
VWN3;hGGA*;1980;0
VWN1RPA;hGGA*;1980;0
PZ81;hGGA*;1981;0
P86;hGGA*;1986;0
BC;hGGA*;1988;0
LYP;hGGA*;1988;0
PW91C;hGGA*;1991;0
PW91X;GGA;1991;0
PBEC;hGGA*;1996;0
OP;hGGA*;1997;0
PBEX;GGA;1997;0
XAlpha;LDA;1974;0
SLATER;LDA;1974;0
SVWN1RPA;LDA;1980;0
SVWN;LDA;1980;0
SVWN3;LDA;1980;0
PKZB;mGGA;1999;0
tHCTH;mGGA;2002;0
TPSS;mGGA;2003;0
BMK;hGGA;2004;0
TPSSLYP1W;mGGA;2005;0
M06L;mGGA;2006;1
TPSSm;mGGA;2007;0
revTPSS;mGGA;2009;0
MS0;mGGA;2012;0
MN12L;mGGA;2012;1
MS1;mGGA;2013;0
MS2;mGGA;2013;0
SCAN;mGGA;2015;0
MVS;mGGA;2015;0
B3LYPS;hGGA;2001;0
revB3LYP;hGGA;2013;0
AM05;GGA;2005;0
B1LYP;hGGA;1993;0
B97;hGGA;1997;0
CAMQTP00;hGGA;2014;0
CAMQTP01;hGGA;2016;0
CAMQTP02;hGGA;2018;0
CHACHIYO;GGA;2020;0
DLDF;hGGA;2009;0
EDF2;hGGA;2004;0
GAM;GGA;2015;1
HCTH-P14;GGA;2001;0
HCTH-P76;GGA;2001;0
HLE16;mGGA;2016;1
HLE17;mGGA;2017;1
LC-QTP;hGGA;2018;0
LRC-WPBEH;hGGA;2009;0
QTP17;hGGA;2018;0
R2SCAN;mGGA;2020;0
RSCAN;mGGA;2019;0
VSXC;mGGA;1997;0
MN15;hGGA;2015;1
MN15L;mGGA;2015;1
revM06;hGGA;2018;1
revM06L;mGGA;2017;1
revM11;hGGA;2019;1
