program;method;basis;moleculeName;density_delta;zero_energy
GAMESS;AM05;ACC6;HeHe;0.106822813;-5.705110631
GAMESS;AM05;ACC6m;HeNe;0.1553846;-131.1687918
GAMESS;AM05;ACC6m;NeNe;0.203973982;-256.632473
GAMESS;APF;ACC6;HeHe;0.041712263;-5.801890624
GAMESS;APF;ACC6m;HeNe;0.062834885;-131.8001077
GAMESS;APF;ACC6m;NeNe;0.08391411;-257.7983247
GAMESS;B1LYP;ACC6;HeHe;0.058261335;-5.812535663
GAMESS;B1LYP;ACC6m;HeNe;0.100643084;-131.8659768
GAMESS;B1LYP;ACC6m;NeNe;0.143013604;-257.9194179
GAMESS;B3LYPV1R;ACC6;HeHe;0.0604356;-5.830421878
GAMESS;B3LYPV1R;ACC6m;HeNe;0.109102349;-131.8960853
GAMESS;B3LYPV1R;ACC6m;NeNe;0.157772115;-257.9617486
GAMESS;B97-1;ACC6;HeHe;0.046031711;-5.814087404
GAMESS;B97-1;ACC6m;HeNe;0.07138051;-131.8546239
GAMESS;B97-1;ACC6m;NeNe;0.096736227;-257.8951604
GAMESS;B97-2;ACC6;HeHe;0.031724841;-5.820171454
GAMESS;B97-2;ACC6m;HeNe;0.050631398;-131.8638836
GAMESS;B97-2;ACC6m;NeNe;0.069473235;-257.9075958
GAMESS;B97-3;ACC6;HeHe;0.038990595;-5.823809125
GAMESS;B97-3;ACC6m;HeNe;0.052100052;-131.8594779
GAMESS;B97-3;ACC6m;NeNe;0.065776898;-257.8951467
GAMESS;B97;ACC6;HeHe;0.046221693;-5.819973637
GAMESS;B97;ACC6m;HeNe;0.071989959;-131.8517566
GAMESS;B97;ACC6m;NeNe;0.097625773;-257.8835396
GAMESS;BHHLYP;ACC6;HeHe;0.030879985;-5.811499033
GAMESS;BHHLYP;ACC6m;HeNe;0.037613486;-131.8541026
GAMESS;BHHLYP;ACC6m;NeNe;0.044356202;-257.8967061
GAMESS;BLYP;ACC6;HeHe;0.087241318;-5.814117987
GAMESS;BLYP;ACC6m;HeNe;0.172420852;-131.8799301
GAMESS;BLYP;ACC6m;NeNe;0.257565889;-257.9457423
GAMESS;CAMB3LYP;ACC6;HeHe;0.075283083;-5.802852585
GAMESS;CAMB3LYP;ACC6m;HeNe;0.125560703;-131.8595382
GAMESS;CAMB3LYP;ACC6m;NeNe;0.175916115;-257.9162239
GAMESS;CAMQTP00;ACC6;HeHe;0.032265184;-5.808420826
GAMESS;CAMQTP00;ACC6m;HeNe;0.03527776;-131.8653929
GAMESS;CAMQTP00;ACC6m;NeNe;0.038209846;-257.9223651
GAMESS;CAMQTP01;ACC6;HeHe;0.084109226;-5.778316818
GAMESS;CAMQTP01;ACC6m;HeNe;0.126543467;-131.8006074
GAMESS;CAMQTP01;ACC6m;NeNe;0.169145018;-257.822898
GAMESS;CAMQTP02;ACC6;HeHe;0.085399378;-5.756443063
GAMESS;CAMQTP02;ACC6m;HeNe;0.119762043;-131.7216385
GAMESS;CAMQTP02;ACC6m;NeNe;0.154299245;-257.6868339
GAMESS;CHACHIYO;ACC6;HeHe;0.053406216;-5.817925587
GAMESS;CHACHIYO;ACC6m;HeNe;0.102923193;-131.8405898
GAMESS;CHACHIYO;ACC6m;NeNe;0.152177218;-257.8632539
GAMESS;DLDF;ACC6;HeHe;0.047743922;-6.014738261
GAMESS;DLDF;ACC6m;HeNe;0.065157773;-132.5491413
GAMESS;DLDF;ACC6m;NeNe;0.082724052;-259.0835443
GAMESS;EDF1;ACC6;HeHe;0.066072539;-5.826793483
GAMESS;EDF1;ACC6m;HeNe;0.114617892;-131.9126645
GAMESS;EDF1;ACC6m;NeNe;0.162806156;-257.9985354
GAMESS;EDF2;ACC6;HeHe;0.059861827;-5.804704982
GAMESS;EDF2;ACC6m;HeNe;0.110685365;-131.8539245
GAMESS;EDF2;ACC6m;NeNe;0.161588231;-257.9031441
GAMESS;GAM;ACC6;HeHe;0.068981515;-5.841376221
GAMESS;GAM;ACC6m;HeNe;0.159107056;-131.8466491
GAMESS;GAM;ACC6m;NeNe;0.249426284;-257.851922
GAMESS;HCTH-P14;ACC6;HeHe;0.069227405;-5.891512241
GAMESS;HCTH-P14;ACC6m;HeNe;0.114738106;-131.9310228
GAMESS;HCTH-P14;ACC6m;NeNe;0.160232315;-257.9705334
GAMESS;HCTH-P76;ACC6;HeHe;0.119308267;-5.333403153
GAMESS;HCTH-P76;ACC6m;HeNe;0.143017535;-130.2916426
GAMESS;HCTH-P76;ACC6m;NeNe;0.166326747;-255.249882
GAMESS;HCTH407;ACC6;HeHe;0.066974133;-5.844322288
GAMESS;HCTH407;ACC6m;HeNe;0.116062392;-131.8786719
GAMESS;HCTH407;ACC6m;NeNe;0.164546433;-257.9130215
GAMESS;HLE16;ACC6;HeHe;0.23078525;-6.25436951
GAMESS;HLE16;ACC6m;HeNe;0.507891944;-134.772436
GAMESS;HLE16;ACC6m;NeNe;0.785213267;-263.2905024
GAMESS;HLE17;ACC6;HeHe;0.264713338;-6.303752157
GAMESS;HLE17;ACC6m;HeNe;0.447309672;-135.0228434
GAMESS;HLE17;ACC6m;NeNe;0.630019705;-263.7419347
GAMESS;HSE06;ACC6;HeHe;0.044874778;-5.792960518
GAMESS;HSE06;ACC6m;HeNe;0.065881915;-131.7797344
GAMESS;HSE06;ACC6m;NeNe;0.08683954;-257.7665082
GAMESS;LC-QTP;ACC6;HeHe;0.125046494;-5.754749703
GAMESS;LC-QTP;ACC6m;HeNe;0.198655813;-131.6912838
GAMESS;LC-QTP;ACC6m;NeNe;0.272384406;-257.6278178
GAMESS;LRC-WPBEH;ACC6;HeHe;0.05283938;-5.794118074
GAMESS;LRC-WPBEH;ACC6m;HeNe;0.074847784;-131.7752553
GAMESS;LRC-WPBEH;ACC6m;NeNe;0.096789968;-257.7563925
GAMESS;M05;ACC6;HeHe;0.067864921;-5.812964498
GAMESS;M05;ACC6m;HeNe;0.082122795;-131.8681505
GAMESS;M05;ACC6m;NeNe;0.096350613;-257.9233365
