program;method;basis;moleculeName;R;energy;QCF;HelFey;HelFey_Bq;QCF_Bq;energy_Bq
GAMESS;AM05;ACC6;HeHe;2;-5.702418436;0.010736674;0.01082935;9.22E-06;-1.28E-07;-5.705110721
GAMESS;AM05;ACC6;HeHe;2.1;-5.703252872;0.007174976;0.00726644;5.28E-06;-1.68E-07;-5.705110705
GAMESS;AM05;ACC6;HeHe;2.2;-5.703812041;0.004825028;0.00490664;5.40E-07;-4.00E-08;-5.705110695
GAMESS;AM05;ACC6;HeHe;2.3;-5.704189492;0.003272332;0.00334045;-2.10E-06;6.40E-08;-5.705110697
GAMESS;AM05;ACC6;HeHe;2.4;-5.704446727;0.002243382;0.0022969;-2.02E-06;0;-5.705110702
GAMESS;AM05;ACC6;HeHe;2.5;-5.704624137;0.001558376;0.00159663;-5.40E-07;-5.60E-08;-5.705110701
GAMESS;AM05;ACC6;HeHe;2.6;-5.704748252;0.001099308;0.00112199;7.60E-07;-7.60E-08;-5.705110694
GAMESS;AM05;ACC6;HeHe;2.7;-5.7048365;7.89E-04;7.97E-04;1.20E-06;0;-5.705110688
GAMESS;AM05;ACC6;HeHe;2.8;-5.704900347;5.76E-04;5.71E-04;9.80E-07;0;-5.705110688
GAMESS;AM05;ACC6;HeHe;2.9;-5.704947359;4.28E-04;4.14E-04;6.20E-07;0;-5.705110688
GAMESS;AM05;ACC6;HeHe;3;-5.704982562;3.23E-04;3.02E-04;4.40E-07;0;-5.705110687
GAMESS;AM05;ACC6;HeHe;3.1;-5.705009331;2.48E-04;2.23E-04;5.80E-07;-4.80E-08;-5.705110683
GAMESS;AM05;ACC6;HeHe;3.2;-5.705029965;1.92E-04;1.66E-04;8.80E-07;0;-5.705110679
GAMESS;AM05;ACC6;HeHe;3.3;-5.705046054;1.51E-04;1.25E-04;1.16E-06;0;-5.705110676
GAMESS;AM05;ACC6;HeHe;3.4;-5.705058719;1.19E-04;9.44E-05;1.30E-06;0;-5.705110675
GAMESS;AM05;ACC6;HeHe;3.5;-5.705068765;9.47E-05;7.20E-05;1.28E-06;0;-5.705110674
GAMESS;AM05;ACC6;HeHe;3.6;-5.705076783;7.58E-05;5.53E-05;1.18E-06;0;-5.705110672
GAMESS;AM05;ACC6;HeHe;3.7;-5.705083215;6.09E-05;4.29E-05;1.02E-06;0;-5.70511067
GAMESS;AM05;ACC6;HeHe;3.8;-5.705088395;4.92E-05;3.36E-05;8.80E-07;0;-5.705110667
GAMESS;AM05;ACC6;HeHe;3.9;-5.705092582;3.98E-05;2.65E-05;7.60E-07;0;-5.705110665
GAMESS;AM05;ACC6;HeHe;4;-5.705095976;3.23E-05;2.12E-05;7.00E-07;0;-5.705110663
GAMESS;AM05;ACC6;HeHe;4.1;-5.705098732;2.63E-05;1.72E-05;6.80E-07;0;-5.705110662
GAMESS;AM05;ACC6;HeHe;4.2;-5.705100975;2.14E-05;1.40E-05;6.80E-07;0;-5.705110662
GAMESS;AM05;ACC6;HeHe;4.3;-5.705102801;1.74E-05;1.16E-05;7.00E-07;0;-5.705110662
GAMESS;AM05;ACC6;HeHe;4.4;-5.705104287;1.42E-05;9.61E-06;7.00E-07;0;-5.705110661
GAMESS;AM05;ACC6;HeHe;4.5;-5.705105497;1.15E-05;8.02E-06;7.00E-07;0;-5.70511066
GAMESS;AM05;ACC6;HeHe;4.6;-5.705106481;9.37E-06;6.69E-06;6.80E-07;0;-5.705110658
GAMESS;AM05;ACC6;HeHe;4.7;-5.705107281;7.62E-06;5.59E-06;6.40E-07;0;-5.705110656
GAMESS;AM05;ACC6;HeHe;4.8;-5.705107931;6.18E-06;4.69E-06;6.00E-07;0;-5.705110653
GAMESS;AM05;ACC6;HeHe;4.9;-5.705108458;5.02E-06;3.91E-06;5.60E-07;0;-5.705110651
GAMESS;AM05;ACC6;HeHe;5;-5.705108886;4.06E-06;3.26E-06;5.20E-07;0;-5.70511065
GAMESS;AM05;ACC6;HeHe;5.1;-5.705109232;3.29E-06;2.71E-06;4.80E-07;0;-5.705110649
GAMESS;AM05;ACC6;HeHe;5.2;-5.705109512;2.66E-06;2.26E-06;4.40E-07;0;-5.705110649
GAMESS;AM05;ACC6;HeHe;5.3;-5.705109738;2.14E-06;1.86E-06;4.00E-07;0;-5.705110648
GAMESS;AM05;ACC6;HeHe;5.4;-5.705109919;1.72E-06;1.54E-06;3.60E-07;0;-5.705110649
GAMESS;AM05;ACC6;HeHe;5.5;-5.705110065;1.38E-06;1.28E-06;3.20E-07;0;-5.705110649
GAMESS;AM05;ACC6;HeHe;5.6;-5.705110182;1.10E-06;1.06E-06;3.00E-07;0;-5.705110649
GAMESS;AM05;ACC6;HeHe;5.7;-5.705110276;8.78E-07;8.70E-07;2.60E-07;0;-5.705110648
GAMESS;AM05;ACC6;HeHe;5.8;-5.70511035;7.00E-07;7.20E-07;2.40E-07;0;-5.705110648
GAMESS;AM05;ACC6;HeHe;5.9;-5.705110409;5.54E-07;5.90E-07;2.00E-07;0;-5.705110647
GAMESS;AM05;ACC6;HeHe;6;-5.705110455;4.38E-07;4.90E-07;1.80E-07;0;-5.705110646
GAMESS;AM05;ACC6;HeHe;6.1;-5.705110492;3.46E-07;4.00E-07;1.60E-07;0;-5.705110645
GAMESS;AM05;ACC6;HeHe;6.2;-5.705110521;2.72E-07;3.30E-07;1.40E-07;0;-5.705110644
GAMESS;AM05;ACC6;HeHe;6.3;-5.705110544;2.14E-07;2.80E-07;1.20E-07;0;-5.705110643
GAMESS;AM05;ACC6;HeHe;6.4;-5.705110562;1.68E-07;2.20E-07;1.00E-07;0;-5.705110642
GAMESS;AM05;ACC6;HeHe;6.5;-5.705110576;1.32E-07;1.80E-07;1.00E-07;0;-5.705110641
GAMESS;AM05;ACC6;HeHe;6.6;-5.705110588;1.04E-07;1.60E-07;8.00E-08;0;-5.70511064
GAMESS;AM05;ACC6;HeHe;6.7;-5.705110596;8.20E-08;1.20E-07;6.00E-08;0;-5.705110639
GAMESS;AM05;ACC6;HeHe;6.8;-5.705110603;6.40E-08;1.00E-07;6.00E-08;0;-5.705110638
GAMESS;AM05;ACC6;HeHe;6.9;-5.705110609;5.20E-08;8.00E-08;4.00E-08;0;-5.705110638
